date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:25	12156/12156	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f7c-62a62ae4-10ff65d;;;%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot?v=3.15.4	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/css/icons/fl-icons8cc2.eot	(from https://noithatmansion.vn/)
22:06:25	2564/2564	---M-Z	200	added ('OK')	application/rss+xml	etag:%22832b2b0ad37ec8fce03e62034e7a7ed6%22	https://noithatmansion.vn/comments/feed/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/comments/feed/index.html	(from https://noithatmansion.vn/)
22:06:25	12156/12156	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222f7c-62a62ae4-10ff65d;;;%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot	(from https://noithatmansion.vn/)
22:06:25	6752/6752	---M--	200	added ('OK')	font/woff2	etag:%221a60-62a62ae4-10ff661;;;%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/css/icons/fl-icons.woff2?v=3.15.4	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/css/icons/fl-icons8cc2.woff2	(from https://noithatmansion.vn/)
22:06:26	11988/11988	---M--	200	added ('OK')	application/x-font-ttf	etag:%222ed4-62a62ae4-10ff65f;;;%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/css/icons/fl-icons.ttf?v=3.15.4	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/css/icons/fl-icons8cc2.ttf	(from https://noithatmansion.vn/)
22:06:26	12064/12064	---M--	200	added ('OK')	application/font-woff	etag:%222f20-62a62ae4-10ff660;;;%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/css/icons/fl-icons.woff?v=3.15.4	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/css/icons/fl-icons8cc2.woff	(from https://noithatmansion.vn/)
22:06:26	34033/34033	---M-Z	200	added ('OK')	image/svg+xml	etag:%2284f1-62a62ae4-10ff65e;gz%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/css/icons/fl-icons.svg?v=3.15.4	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/css/icons/fl-icons8cc2.svg	(from https://noithatmansion.vn/)
22:06:26	23991/23991	---M-Z	200	added ('OK')	text/css	etag:%225db7-62a62ae4-18edd09;gz%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/css/flatsome-shop.css?ver=3.15.4	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/css/flatsome-shop2855.css	(from https://noithatmansion.vn/)
22:06:27	339/339	---M-Z	200	added ('OK')	text/css	etag:%22153-62a62942-3021117;gz%22	https://noithatmansion.vn/wp-content/themes/noithatmansion/style.css?ver=3.0	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/noithatmansion/style6aec.css	(from https://noithatmansion.vn/)
22:06:27	89521/89521	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215db1-6048e0ac-11188e;gz%22	https://noithatmansion.vn/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-includes/js/jquery/jquery.minaf6c.js	(from https://noithatmansion.vn/)
22:06:28	1283325/1283325	---MC-	200	added ('OK')	application/json	date:Fri,%2019%20Aug%202022%2015:06:28%20GMT	https://noithatmansion.vn/wp-json/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-json/index.html	(from https://noithatmansion.vn/)
22:06:28	89097/89097	---M--	200	added ('OK')	application/json	date:Fri,%2019%20Aug%202022%2015:06:28%20GMT	https://noithatmansion.vn/wp-json/wp/v2/pages/92	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-json/wp/v2/pages/92.json	(from https://noithatmansion.vn/)
22:06:29	816/816	---M-Z	200	added ('OK')	text/xml	date:Fri,%2019%20Aug%202022%2015:06:29%20GMT	https://noithatmansion.vn/xmlrpc.php?rsd	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/xmlrpc0db0.php	(from https://noithatmansion.vn/)
22:06:29	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-52a8c1b7-1167f74;gz%22	https://noithatmansion.vn/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-includes/wlwmanifest.xml	(from https://noithatmansion.vn/)
22:06:30	3005/3005	---M--	200	added ('OK')	application/json	date:Fri,%2019%20Aug%202022%2015:06:29%20GMT	https://noithatmansion.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnoithatmansion.vn%2F	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-json/oembed/1.0/embed85cd.json	(from https://noithatmansion.vn/)
22:06:30	3208/3208	---M-Z	200	added ('OK')	text/xml	date:Fri,%2019%20Aug%202022%2015:06:30%20GMT	https://noithatmansion.vn/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnoithatmansion.vn%2F&format=xml	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-json/oembed/1.0/embedd71e	(from https://noithatmansion.vn/)
22:06:30	5624/5624	---M--	200	added ('OK')	image/png	etag:%2215f8-62b2da32-283665c;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/06/Logo-Mansion-06-medium-100x100.png	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/06/Logo-Mansion-06-medium-100x100.png	(from https://noithatmansion.vn/)
22:06:30	4648/4648	---M--	200	added ('OK')	image/png	etag:%221228-62b2da31-465c7;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/06/Logo-Mansion-06-medium.png	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/06/Logo-Mansion-06-medium.png	(from https://noithatmansion.vn/)
22:06:30	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-62a62af1-10ff3e2;;;%22	https://noithatmansion.vn/wp-content/webgiareorg/public/thirdparty/awesome47/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/webgiareorg/public/thirdparty/awesome47/fonts/fontawesome-webfont3e6e.eot	(from https://noithatmansion.vn/)
22:06:31	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-62a62af1-10ff3e2;;;%22	https://noithatmansion.vn/wp-content/webgiareorg/public/thirdparty/awesome47/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/webgiareorg/public/thirdparty/awesome47/fonts/fontawesome-webfontd41d.eot	(from https://noithatmansion.vn/)
22:06:31	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-62a62af1-10ff3e6;;;%22	https://noithatmansion.vn/wp-content/webgiareorg/public/thirdparty/awesome47/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/webgiareorg/public/thirdparty/awesome47/fonts/fontawesome-webfont3e6e.woff2	(from https://noithatmansion.vn/)
22:06:31	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%2217ee8-62a62af1-10ff3e5;;;%22	https://noithatmansion.vn/wp-content/webgiareorg/public/thirdparty/awesome47/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/webgiareorg/public/thirdparty/awesome47/fonts/fontawesome-webfont3e6e.woff	(from https://noithatmansion.vn/)
22:06:31	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	etag:%22286ac-62a62af1-10ff3e4;;;%22	https://noithatmansion.vn/wp-content/webgiareorg/public/thirdparty/awesome47/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/webgiareorg/public/thirdparty/awesome47/fonts/fontawesome-webfont3e6e.ttf	(from https://noithatmansion.vn/)
22:06:32	30513/30513	---M-Z	200	added ('OK')	text/css	etag:%227731-62a62af1-8eb86c;gz%22	https://noithatmansion.vn/wp-content/webgiareorg/public/thirdparty/awesome47/css/font-awesome.min.css?v=4.7	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/webgiareorg/public/thirdparty/awesome47/css/font-awesome.min096a.css	(from https://noithatmansion.vn/)
22:06:32	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:%226c7db-62a62af1-10ff3e3;gz%22	https://noithatmansion.vn/wp-content/webgiareorg/public/thirdparty/awesome47/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/webgiareorg/public/thirdparty/awesome47/fonts/fontawesome-webfont3e6e.svg	(from https://noithatmansion.vn/)
22:06:32	1608/1608	---M-Z	200	added ('OK')	text/css	etag:%22648-62dad3ac-282eeec;gz%22	https://noithatmansion.vn/wp-content/webgiareorg/public/css/d.css?v=1658508204	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/webgiareorg/public/css/d45be.css	(from https://noithatmansion.vn/)
22:06:32	10313/10313	---M-Z	200	added ('OK')	text/css	etag:%222849-62dad3ac-ee575;gz%22	https://noithatmansion.vn/wp-content/themes/noithatmansion/css/d.css?v=1658508204	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/noithatmansion/css/d45be.css	(from https://noithatmansion.vn/)
22:06:32	1083/1083	---M-Z	200	added ('OK')	application/x-javascript	etag:%2243b-62dad3ac-302110f;gz%22	https://noithatmansion.vn/wp-content/webgiareorg/public/javascript/functions.js?v=1658508204	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/webgiareorg/public/javascript/functions45be.js	(from https://noithatmansion.vn/)
22:06:33	4683/4683	---M--	200	added ('OK')	image/png	etag:%22124b-62b2d941-465c6;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/06/Logo-Mansion-07-medium-1.png	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/06/Logo-Mansion-07-medium-1.png	(from https://noithatmansion.vn/)
22:06:33	257421/257421	---M--	200	added ('OK')	image/jpeg	etag:%223ed8d-62fa6d60-b1fe3;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/08/mansion-1.jpg	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/08/mansion-1.jpg	(from https://noithatmansion.vn/)
22:06:33	237899/237899	---M--	200	added ('OK')	image/jpeg	etag:%223a14b-62fa6e14-12500;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/08/mansion-1-1.jpg	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/08/mansion-1-1.jpg	(from https://noithatmansion.vn/)
22:06:33	78785/78785	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2015:06:33%20GMT	https://noithatmansion.vn/gioi-thieu/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/gioi-thieu/index.html	(from https://noithatmansion.vn/)
22:06:34	200812/200812	---M--	200	added ('OK')	image/jpeg	etag:%223106c-62fa6e9b-12502;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/08/mansion-2.jpg	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/08/mansion-2.jpg	(from https://noithatmansion.vn/)
22:06:34	229212/229212	---M--	200	added ('OK')	image/jpeg	etag:%2237f5c-62fa6f3d-12503;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/08/mansion-3.jpg	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/08/mansion-3.jpg	(from https://noithatmansion.vn/)
22:06:34	12049/12049	---M--	200	added ('OK')	image/png	etag:%222f11-62fb4d4f-1251e;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/08/Google_Maps_icon.png	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/08/Google_Maps_icon.png	(from https://noithatmansion.vn/)
22:06:34	23338/23338	---M--	200	added ('OK')	image/png	etag:%225b2a-62b18527-d25ac;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/06/web_basic_2x.png	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/06/web_basic_2x.png	(from https://noithatmansion.vn/)
22:06:35	117015/117015	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2015:06:35%20GMT	https://noithatmansion.vn/thi-cong-noi-that-go-oc-cho/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/thi-cong-noi-that-go-oc-cho/index.html	(from https://noithatmansion.vn/)
22:06:35	2454/2454	---M--	200	added ('OK')	image/png	etag:%22996-62c79a49-339d57;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/07/Park-city-3.png	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/07/Park-city-3.png	(from https://noithatmansion.vn/)
22:06:35	3210/3210	---M--	200	added ('OK')	image/png	etag:%22c8a-62c79abc-3443ef;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/07/vinhome-THE-HARMONY.png	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/07/vinhome-THE-HARMONY.png	(from https://noithatmansion.vn/)
22:06:35	2912/2912	---M--	200	added ('OK')	image/png	etag:%22b60-62c79abb-3443ee;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/07/smart-city.png	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/07/smart-city.png	(from https://noithatmansion.vn/)
22:06:35	3307/3307	---M--	200	added ('OK')	image/png	etag:%22ceb-62c79abb-3443ed;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/07/SKYLAKE.png	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/07/SKYLAKE.png	(from https://noithatmansion.vn/)
22:06:36	105110/105110	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2015:06:35%20GMT	https://noithatmansion.vn/thiet-ke-noi-that-go-oc-cho/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/thiet-ke-noi-that-go-oc-cho/index.html	(from https://noithatmansion.vn/)
22:06:36	3573/3573	---M--	200	added ('OK')	image/png	etag:%22df5-62c79aba-3443ec;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/07/ocen-park.png	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/07/ocen-park.png	(from https://noithatmansion.vn/)
22:06:36	3593/3593	---M--	200	added ('OK')	image/png	etag:%22e09-62c79aba-3443eb;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/07/metropolis.png	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/07/metropolis.png	(from https://noithatmansion.vn/)
22:06:36	3590/3590	---M--	200	added ('OK')	image/png	etag:%22e06-62c79ab9-3443ea;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/07/GARDENEA.png	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/07/GARDENEA.png	(from https://noithatmansion.vn/)
22:06:36	4947/4947	---M--	200	added ('OK')	image/png	etag:%221353-62c79ab9-3443e8;;;%22	https://noithatmansion.vn/wp-content/uploads/2022/07/ECOPARK.png	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/uploads/2022/07/ECOPARK.png	(from https://noithatmansion.vn/)
22:06:37	89884/89884	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2015:06:37%20GMT	https://noithatmansion.vn/danh-muc-san-pham/san-pham/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/danh-muc-san-pham/san-pham/index.html	(from https://noithatmansion.vn/)
22:06:38	61443/61443	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Aug%202022%2015:06:38%20GMT	https://noithatmansion.vn/tel:0966856666	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/tel_0966856666	(from https://noithatmansion.vn/)
22:06:40	66115/66115	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2015:06:39%20GMT	https://noithatmansion.vn/danh-muc-san-pham/san-pham/phong-bep/ghe-an/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/danh-muc-san-pham/san-pham/phong-bep/ghe-an/index.html	(from https://noithatmansion.vn/)
22:06:40	66191/66191	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2015:06:39%20GMT	https://noithatmansion.vn/danh-muc-san-pham/san-pham/phong-bep/ban-ghe-an/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/danh-muc-san-pham/san-pham/phong-bep/ban-ghe-an/index.html	(from https://noithatmansion.vn/)
22:06:40	69235/69235	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2015:06:39%20GMT	https://noithatmansion.vn/danh-muc-san-pham/san-pham/phong-bep/tu-bep/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/danh-muc-san-pham/san-pham/phong-bep/tu-bep/index.html	(from https://noithatmansion.vn/)
22:06:40	73511/73511	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2015:06:38%20GMT	https://noithatmansion.vn/danh-muc-san-pham/san-pham/phong-bep/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/danh-muc-san-pham/san-pham/phong-bep/index.html	(from https://noithatmansion.vn/)
22:06:40	9509/9509	---M-Z	200	added ('OK')	application/x-javascript	etag:%222525-62fb5b68-202bbd8;gz%22	https://noithatmansion.vn/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.6.8.0	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.minf13c.js	(from https://noithatmansion.vn/)
22:06:40	3037/3037	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bdd-62fb5b68-1851dac;gz%22	https://noithatmansion.vn/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=6.8.0	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min8e94.js	(from https://noithatmansion.vn/)
22:06:41	1834/1834	---M-Z	200	added ('OK')	application/x-javascript	etag:%2272a-62fb5b68-282e9b7;gz%22	https://noithatmansion.vn/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.6.8.0	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min1c36.js	(from https://noithatmansion.vn/)
22:06:41	2139/2139	---M-Z	200	added ('OK')	application/x-javascript	etag:%2285b-62fb5b68-18978a6;gz%22	https://noithatmansion.vn/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=6.8.0	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min8e94.js	(from https://noithatmansion.vn/)
22:06:41	69544/69544	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2015:06:41%20GMT	https://noithatmansion.vn/danh-muc-san-pham/san-pham/phong-khach/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/danh-muc-san-pham/san-pham/phong-khach/index.html	(from https://noithatmansion.vn/)
22:06:41	69262/69262	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2015:06:41%20GMT	https://noithatmansion.vn/danh-muc-san-pham/san-pham/phong-bep/tu-ruou/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/danh-muc-san-pham/san-pham/phong-bep/tu-ruou/index.html	(from https://noithatmansion.vn/)
22:06:41	2938/2938	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b7a-62fb5b68-1851db0;gz%22	https://noithatmansion.vn/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=6.8.0	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min8e94.js	(from https://noithatmansion.vn/)
22:06:41	69889/69889	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2015:06:41%20GMT	https://noithatmansion.vn/danh-muc-san-pham/san-pham/phong-khach/sofa-go-oc-cho/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/danh-muc-san-pham/san-pham/phong-khach/sofa-go-oc-cho/index.html	(from https://noithatmansion.vn/)
22:06:41	6475/6475	---M-Z	200	added ('OK')	application/x-javascript	etag:%22194b-6254194e-2012ca8;gz%22	https://noithatmansion.vn/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-includes/js/dist/vendor/regenerator-runtime.min3937.js	(from https://noithatmansion.vn/)
22:06:42	69785/69785	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2015:06:42%20GMT	https://noithatmansion.vn/danh-muc-san-pham/san-pham/phong-khach/ban-tra/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/danh-muc-san-pham/san-pham/phong-khach/ban-tra/index.html	(from https://noithatmansion.vn/)
22:06:42	19142/19142	---M-Z	200	added ('OK')	application/x-javascript	etag:%224ac6-6254194e-2012cb5;gz%22	https://noithatmansion.vn/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://noithatmansion.vn/)
22:06:42	1499/1499	---M-Z	200	added ('OK')	application/x-javascript	etag:%225db-625095f6-19cea7d;gz%22	https://noithatmansion.vn/wp-includes/js/hoverIntent.min.js?ver=1.10.2	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-includes/js/hoverIntent.min3e5a.js	(from https://noithatmansion.vn/)
22:06:42	55326/55326	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d81e-62a62ae4-796b1;gz%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/js/flatsome.js?ver=dfed7b62b19c7bfa50899e873935db6f	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/js/flatsome334f.js	(from https://noithatmansion.vn/)
22:06:42	2444/2444	---M-Z	200	added ('OK')	application/x-javascript	etag:%2298c-62a62ae5-10ff448;gz%22	https://noithatmansion.vn/wp-content/themes/flatsome/inc/extensions/flatsome-lazy-load/flatsome-lazy-load.js?ver=3.15.4	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/inc/extensions/flatsome-lazy-load/flatsome-lazy-load2855.js	(from https://noithatmansion.vn/)
22:06:43	66140/66140	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2015:06:42%20GMT	https://noithatmansion.vn/danh-muc-san-pham/san-pham/phong-khach/ke-tivi/	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/danh-muc-san-pham/san-pham/phong-khach/ke-tivi/index.html	(from https://noithatmansion.vn/)
22:06:43	18420/18420	---M-Z	200	added ('OK')	application/x-javascript	etag:%2247f4-62a62ae4-796b4;gz%22	https://noithatmansion.vn/wp-content/themes/flatsome/assets/js/woocommerce.js?ver=7a63f7aa2c4bbf851812535d8e4e7958	C:/My%20Web%20Sites/noithatoccho/noithatmansion.vn/wp-content/themes/flatsome/assets/js/woocommerce48f4.js	(from https://noithatmansion.vn/)
